,LikeMath(A+B),Average Score,Like Learning Mathematics(A),Somewhat Like Learning Mathematics(B)
モロッコ,88,371,48,40
アルメニア,82,467,43,39
ヨルダン,81,406,42,39
グルジア,82,431,42,40
マレーシア,85,440,39,46
イラン,79,415,39,40
ガーナ,89,331,38,51
オマーン,83,366,38,45
カザフスタン,90,487,38,52
チュニジア,78,425,38,40
シリア,81,380,37,44
ウクライナ,79,479,36,43
レバノン,78,449,35,43
シンガポール,76,611,32,44
トルコ,73,452,31,42
アラブ首長国連邦,73,456,31,42
パレスチナ,74,404,31,43
ロシア,78,539,29,49
サウジアラビア,69,394,29,40
カタール,70,410,27,43
タイ,83,427,26,57
イスラエル,66,516,26,40
マケドニア,64,426,24,40
バーレーン,62,409,24,38
リトアニア,66,502,22,44
チリ,62,416,22,40
インドネシア,90,386,20,70
アメリカ,59,509,19,40
香港,63,586,19,44
ルーマニア,58,458,18,40
イタリア,60,498,18,42
ニュージーランド,58,488,17,41
ノルウェー,59,475,17,42
オーストラリア,56,505,16,40
ハンガリー,50,505,15,35
イギリス,58,507,14,44
台湾,47,609,14,33
スウェーデン,55,484,13,42
フィンランド,44,514,10,34
日本,47,570,9,38
韓国,44,613,8,36
スロベニア,37,505,6,31
ボツワナ,85,397,47,38
南アフリカ,85,352,41,44
ホンジュラス,72,338,23,49
