,Age,Activity,Arban
0,40.0,0.92,0.0
1,30.0,0.96,1.0
2,40.0,1.0,0.0
3,30.0,1.2,0.0
4,40.0,0.94,0.0
5,30.0,1.0,0.0
6,40.0,1.06,1.0
7,40.0,0.96,1.0
8,40.0,0.96,1.0
9,30.0,1.1,1.0
10,30.0,0.92,1.0
11,30.0,0.96,1.0
12,40.0,0.96,0.0
13,40.0,1.04,1.0
14,40.0,0.92,0.0
15,40.0,1.06,0.0
16,40.0,0.96,0.0
17,60.0,1.1,1.0
18,40.0,0.88,0.0
19,40.0,1.16,1.0
20,40.0,1.04,1.0
21,40.0,0.92,0.0
22,30.0,0.96,0.0
23,40.0,0.9,1.0
24,50.0,0.94,1.0
25,30.0,1.06,0.0
26,50.0,0.92,1.0
27,30.0,1.08,0.0
28,40.0,1.24,0.0
29,30.0,0.86,0.0
30,40.0,0.92,1.0
31,40.0,1.0,1.0
32,40.0,0.8,1.0
33,50.0,0.88,1.0
34,30.0,1.04,0.0
35,40.0,1.04,0.0
36,40.0,1.0,0.0
37,40.0,1.04,0.0
38,40.0,1.06,0.0
39,30.0,1.08,1.0
40,40.0,1.0,1.0
41,40.0,0.98,1.0
42,30.0,1.1,0.0
43,20.0,0.8,1.0
44,40.0,1.04,0.0
45,40.0,1.04,0.0
46,30.0,1.12,1.0
47,40.0,0.98,0.0
48,40.0,0.96,1.0
49,40.0,1.08,1.0
50,30.0,1.1,1.0
51,40.0,1.02,1.0
52,40.0,0.98,1.0
53,30.0,1.08,1.0
54,20.0,1.1,0.0
55,40.0,1.14,0.0
56,50.0,1.0,1.0
57,40.0,0.92,0.0
58,30.0,1.06,0.0
59,30.0,0.94,1.0
60,50.0,1.04,1.0
61,40.0,0.92,0.0
62,30.0,1.0,1.0
63,40.0,0.84,1.0
64,40.0,1.1,1.0
65,40.0,0.92,0.0
66,40.0,0.88,1.0
67,30.0,0.96,1.0
68,40.0,1.24,1.0
69,30.0,1.0,0.0
70,40.0,0.92,1.0
71,40.0,0.94,1.0
72,40.0,1.04,0.0
73,40.0,1.04,1.0
74,30.0,1.08,1.0
75,30.0,0.88,1.0
76,50.0,0.92,0.0
77,30.0,1.04,0.0
78,30.0,0.9,0.0
79,30.0,0.96,1.0
80,40.0,0.96,0.0
81,30.0,0.9,1.0
82,40.0,0.86,0.0
83,30.0,0.8,1.0
84,30.0,1.06,1.0
85,30.0,1.0,1.0
86,50.0,1.04,0.0
87,40.0,0.98,0.0
88,40.0,0.8,1.0
89,30.0,0.92,1.0
90,40.0,1.04,1.0
91,20.0,1.14,1.0
92,40.0,1.1,0.0
93,40.0,1.12,1.0
94,50.0,0.96,0.0
95,40.0,1.08,1.0
96,40.0,0.96,0.0
97,20.0,0.96,0.0
98,40.0,1.2,0.0
99,40.0,0.96,1.0
100,50.0,0.92,1.0
101,30.0,1.02,1.0
102,40.0,1.02,1.0
103,40.0,0.92,1.0
104,40.0,1.08,1.0
105,40.0,1.02,0.0
106,10.0,0.96,0.0
107,40.0,0.98,1.0
108,50.0,1.1,0.0
109,40.0,0.92,1.0
110,40.0,1.06,0.0
111,40.0,1.04,0.0
112,40.0,0.9,1.0
113,50.0,1.06,0.0
114,20.0,1.1,1.0
115,30.0,0.92,0.0
116,50.0,0.92,1.0
117,40.0,1.1,0.0
118,30.0,1.08,0.0
119,50.0,1.0,0.0
120,40.0,0.88,1.0
121,20.0,0.84,0.0
122,40.0,0.92,0.0
123,40.0,1.14,1.0
124,40.0,0.96,1.0
125,30.0,1.0,1.0
126,40.0,0.94,0.0
127,50.0,1.12,1.0
128,40.0,0.84,0.0
129,40.0,1.04,0.0
130,30.0,0.96,1.0
131,40.0,1.06,1.0
132,50.0,0.98,1.0
133,30.0,1.06,1.0
134,30.0,1.0,1.0
135,30.0,0.92,1.0
136,40.0,0.92,0.0
137,30.0,0.92,1.0
138,40.0,0.98,0.0
139,40.0,0.84,1.0
140,50.0,0.88,0.0
141,50.0,0.98,0.0
142,40.0,1.08,0.0
143,30.0,0.94,1.0
144,30.0,0.98,1.0
145,40.0,1.12,0.0
146,40.0,1.04,0.0
147,50.0,1.12,0.0
148,30.0,0.82,1.0
149,40.0,0.92,0.0
150,40.0,0.96,0.0
151,40.0,1.12,0.0
152,40.0,1.0,0.0
